Name,Location,Hometype,Max_guest,Home_summary,Price,Amenities,Reviewnumber,Reviewstar
5 Seconds to Subway(Dongmyo Stn). Dongdaemun Area,Mapo-gu,ENTIRE LOFT,4 guests,"['1 bedroom', '2 beds', '1 bath']",$56 per night,"['Elevator', 'Indoor fireplace', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer']",101,Rating 5 out of 5
E's House near Hongdae area. Great location!!,Mapo-gu,ENTIRE LOFT,4 guests,"['2 bedrooms', '1 bed', '1 bath']",$55 per night,"['Free parking on premises', 'Elevator', 'Kitchen', 'Wifi', 'Dryer', 'Iron']",86,Rating 5 out of 5
#5 Connceted to Mapo Stn./HAN River View/Hongdae,Jongno-gu,ENTIRE APARTMENT,2 guests,"['1 bedroom', '1 bed', '1 bath']",$45 per night,"['Free parking on premises', 'Elevator', 'Kitchen', 'Wifi', 'Dryer', 'Iron']",29,Rating 5 out of 5
Free WiFi / Duplex in Jongro & Myungdong #1,??????,ENTIRE LOFT,6 guests,"['1 bedroom', '4 beds', '1 bath']",$50 per night,"['Elevator', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Cable TV']",57,Rating 4.5 out of 5
Savvy private Room near SNU!,Jung-gu,PRIVATE ROOM IN APARTMENT,1 guest,"['1 bedroom', '1 bed', '1 bath']",$19 per night,"['Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Hangers', 'Essentials']",57,Rating 5 out of 5
??????/leaf of grass/???? Namsan view/hyojung house,Seodaemun-gu,ENTIRE TOWNHOUSE,2 guests,"['1 bedroom', '1 bed', '1 bath']",$35 per night,"['Kitchen', 'Wifi', 'Dryer', 'Iron', 'Hair dryer', 'Cable TV']",74,Rating 4.5 out of 5
Newly Open&Big Guest Room_5mins from Hongdae stn..,??????????,ENTIRE HOUSE,5 guests,"['1 bedroom', '2 beds', '1 bath']",$35 per night,"['Kitchen', 'Wifi', 'Dryer', 'Iron', 'Hair dryer', 'Cable TV']",45,Rating 4.5 out of 5
HEAVEN,Jung-gu,PRIVATE ROOM IN HOUSE,4 guests,"['1 bedroom', '2 beds', '1 shared bath']",$56 per night,"['Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Hangers', 'Essentials']",156,Rating 5 out of 5
[Myeongdong]seoul tower view - wifi,Jongno-gu,ENTIRE APARTMENT,3 guests,"['Studio', '2 beds', '1 bath']",$65 per night,"['Elevator', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Cable TV']",157,Rating 5 out of 5
[Myeong-dong] Mono House (new open discount),Seoul,ENTIRE LOFT,4 guests,"['2 bedrooms', '2 beds', '1 bath']",$49 per night,"['Elevator', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Cable TV']",21,Rating 4.5 out of 5
Bomun station. Full equiped house,Yongsan-gu,ENTIRE APARTMENT,4 guests,"['2 bedrooms', '2 beds', '1 bath']",$45 per night,"['Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Hangers', 'Essentials']",128,Rating 5 out of 5
SALE! FnsticView (Email hidden by Airbnb),Mapo-gu,ENTIRE APARTMENT,6 guests,"['2 bedrooms', '4 beds', '1 bath']",$31 per night,"['Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Hangers', 'Essentials']",122,Rating 4 out of 5
Lovely house 5min Hongik stn-1BR+1Dining room,Gangseo-gu,ENTIRE HOUSE,2 guests,"['1 bedroom', '2 beds', '1 bath']",$36 per night,"['Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Cable TV', 'Hangers']",69,Rating 4.5 out of 5
10mins to Gimpo airport by walk!,Jung-gu,ENTIRE LOFT,2 guests,"['1 bedroom', '1 bed', '1 bath']",$46 per night,"['Elevator', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Hangers']",165,Rating 5 out of 5
"Clean, Comfortable accommodation Double(2 people)",Yongsan-gu,PRIVATE ROOM IN CONDOMINIUM,2 guests,"['2 bedrooms', '2 beds', 'Shared half-bath']",$20 per night,"['Elevator', 'Kitchen', 'Wifi', 'Breakfast', 'Hair dryer', 'Essentials']",101,Rating 5 out of 5
Friends House R1,"Deungchon 1(il)-dong, Seoul",ENTIRE HOUSE,1 guest,"['1 bedroom', '1 bed', '1 bath']",$24 per night,"['Kitchen', 'Wifi', 'Essentials', 'Shampoo', 'Heating', 'Washer']",69,Rating 4.5 out of 5
11 - Private cozy loft near Metro station,Yongsan-gu,ENTIRE LOFT,4 guests,"['1 bedroom', '2 beds', '1 bath']",$36 per night,"['Elevator', 'Kitchen', 'Wifi', 'Dryer', 'Hair dryer', 'Cable TV']",79,Rating 4.5 out of 5
#4 Seoul station 2min!! 4th Dada house,Songpa-gu,ENTIRE APARTMENT,6 guests,"['2 bedrooms', '3 beds', '1 bath']",$45 per night,"['Kitchen', 'Wifi', 'Dryer', 'Iron', 'Hair dryer', 'Cable TV']",108,Rating 4.5 out of 5
"Jamsil ""Comestay"" CA - Double bedroom","Guui 2(i)-dong, Gwangjin-gu",PRIVATE ROOM IN HOUSE,2 guests,"['1 bedroom', '1 bed', '2.5 shared baths']",$23 per night,"['Kitchen', 'Wifi', 'Breakfast', 'Dryer', 'Iron', 'Hair dryer']",135,Rating 5 out of 5
"[Cheap, Clean] Private room",Jung-gu,PRIVATE ROOM IN HOUSE,2 guests,"['1 bedroom', '1 bed', '1 bath']",$28 per night,"['Free parking on premises', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Cable TV']",142,Rating 4.5 out of 5
[Myeongdong] ??New Open??Cozy Studio,Mapo-gu,ENTIRE CONDOMINIUM,3 guests,"['2 bedrooms', '3 beds', '1 bath']",$42 per night,"['Elevator', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Hangers']",34,Rating 5 out of 5
[Ewha & Sinchon] HaPPy Jeany's Home,Yongsan-gu,ENTIRE APARTMENT,3 guests,"['1 bedroom', '2 beds', '1 bath']",$50 per night,"['Free parking on premises', 'Elevator', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer']",121,Rating 5 out of 5
101Renovation Seoul Station Metro 4min. Clean&Cozy,Mapo-gu,ENTIRE HOUSE,3 guests,"['Studio', '2 beds', '1 bath']",$31 per night,"['Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Cable TV', 'Hangers']",101,Rating 4.5 out of 5
Private Double bed room J house & 1Extra bed,Mapo-gu,ENTIRE APARTMENT,2 guests,"['Studio', '1 bed', '1 bath']",$38 per night,"['Wifi', 'Iron', 'Hair dryer', 'Cable TV', 'Hangers', 'Essentials']",91,Rating 4.5 out of 5
??Helloworld House7??Hongdae!@PartyParty,mapo-gu,ENTIRE HOUSE,10 guests,"['2 bedrooms', '4 beds', '1 bath']",$53 per night,"['Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Hangers', 'Essentials']",78,Rating 4.5 out of 5
