Name,Location,Hometype,Max_guest,Home_summary,Price,Amenities,Reviewnumber,Reviewstar
Trogloditic Vacations - Amboise,Lussault-sur-Loire,ENTIRE GUESTHOUSE,2 guests,"['1 bedroom', '1 bed', '1 bath']",$74 per night,"['Essentials', 'Indoor fireplace', 'Heating', 'Washer', 'Wifi', 'Kitchen']",359,Rating 5 out of 5
"Location de charme,coeur historique",Aix-en-Provence,ENTIRE APARTMENT,4 guests,"['1 bedroom', '1 bed', '1 bath']",$80 per night,"['Air conditioning', 'Cable TV', 'Essentials', 'Heating', 'Iron', 'TV']",310,Rating 5 out of 5
Beautiful cottage in the Cevennes,Bagard,ENTIRE GUEST SUITE,5 guests,"['2 bedrooms', '3 beds', '1 bath']",$104 per night,"['Essentials', 'Heating', 'Laptop friendly workspace', 'TV', 'Washer', 'Wifi']",65,Rating 5 out of 5
urban loft antibes center,Antibes,ENTIRE LOFT,2 guests,"['1 bedroom', '1 bed', '1 bath']",$115 per night,"['Air conditioning', 'Cable TV', 'Dryer', 'Essentials', 'Heating', 'Iron']",161,Rating 5 out of 5
2 people + breakfast +GARAGE MOTORCYCLE/BICYCLE,Les Chapelles,PRIVATE ROOM IN BED AND BREAKFAST,2 guests,"['1 bedroom', '1 bed', '1 shared bath']",$52 per night,"['Essentials', 'Indoor fireplace', 'Heating', 'Iron', 'Laptop friendly workspace', 'TV']",105,Rating 5 out of 5
Cute 1BD in medieval village,Fayence,ENTIRE APARTMENT,2 guests,"['1 bedroom', '1 bed', '1 bath']",$46 per night,"['Essentials', 'Heating', 'Iron', 'Laptop friendly workspace', 'Wifi', 'Kitchen']",92,Rating 4.5 out of 5
Charmant appart Vue exceptionnelle,Nantes,ENTIRE APARTMENT,3 guests,"['1 bedroom', '2 beds', '1 bath']",$61 per night,"['Wifi', 'Kitchen', 'Hangers', 'TV', 'Hair dryer', 'Iron']",338,Rating 4.5 out of 5
"French&Fancy Flat, 2BR, bus station",Nancy,ENTIRE APARTMENT,4 guests,"['2 bedrooms', '2 beds', '1 bath']",$61 per night,"['Kitchen', 'Wifi', 'Cable TV', 'Laptop friendly workspace', 'Hair dryer', 'TV']",285,Rating 4.5 out of 5
"Connected villa, comfortable, flat foot, swimming",Cournonterral,ENTIRE VILLA,7 guests,"['3 bedrooms', '5 beds', '1 bath']",$96 per night,"['Free parking on premises', 'Indoor fireplace', 'Wifi', 'Pool', 'Cable TV', 'Kitchen']",87,Rating 4.5 out of 5
Design Cosy Sea House architect,Brignogan-Plage,ENTIRE COTTAGE,5 guests,"['4 bedrooms', '4 beds', '1 bath']",$110 per night,"['Essentials', 'Indoor fireplace', 'Heating', 'Iron', 'Laptop friendly workspace', 'TV']",87,Rating 5 out of 5
